Mag_AB	   SNR  zodi Filt	time
  20.00    5.0  1.4  F062         10
  20.00    5.0  1.4  F087         10
  20.00    5.0  1.4  F106         10
  20.00    5.0  1.4  F129         10
  20.00    5.0  1.4  F158         10
  20.00    5.0  1.4  F184         10
  20.00    5.0  1.4  F146         10
  20.00    5.0  1.4  F213         10
  20.00    5.0  2.0  F062         10
  20.00    5.0  2.0  F087         10
  20.00    5.0  2.0  F106         10
  20.00    5.0  2.0  F129         10
  20.00    5.0  2.0  F158         10
  20.00    5.0  2.0  F184         10
  20.00    5.0  2.0  F146         10
  20.00    5.0  2.0  F213         10
  20.00    5.0  3.0  F062         10
  20.00    5.0  3.0  F087         10
  20.00    5.0  3.0  F106         10
  20.00    5.0  3.0  F129         10
  20.00    5.0  3.0  F158         10
  20.00    5.0  3.0  F184         10
  20.00    5.0  3.0  F146         10
  20.00    5.0  3.0  F213         10
  20.00   10.0  1.4  F062         10
  20.00   10.0  1.4  F087         10
  20.00   10.0  1.4  F106         10
  20.00   10.0  1.4  F129         10
  20.00   10.0  1.4  F158         10
  20.00   10.0  1.4  F184         10
  20.00   10.0  1.4  F146         10
  20.00   10.0  1.4  F213         10
  20.00   10.0  2.0  F062         10
  20.00   10.0  2.0  F087         10
  20.00   10.0  2.0  F106         10
  20.00   10.0  2.0  F129         10
  20.00   10.0  2.0  F158         10
  20.00   10.0  2.0  F184         10
  20.00   10.0  2.0  F146         10
  20.00   10.0  2.0  F213         10
  20.00   10.0  3.0  F062         10
  20.00   10.0  3.0  F087         10
  20.00   10.0  3.0  F106         10
  20.00   10.0  3.0  F129         10
  20.00   10.0  3.0  F158         10
  20.00   10.0  3.0  F184         10
  20.00   10.0  3.0  F146         10
  20.00   10.0  3.0  F213         10
  20.00   15.0  1.4  F062         10
  20.00   15.0  1.4  F087         10
  20.00   15.0  1.4  F106         10
  20.00   15.0  1.4  F129         10
  20.00   15.0  1.4  F158         10
  20.00   15.0  1.4  F184         10
  20.00   15.0  1.4  F146         10
  20.00   15.0  1.4  F213         10
  20.00   15.0  2.0  F062         10
  20.00   15.0  2.0  F087         10
  20.00   15.0  2.0  F106         10
  20.00   15.0  2.0  F129         10
  20.00   15.0  2.0  F158         10
  20.00   15.0  2.0  F184         10
  20.00   15.0  2.0  F146         10
  20.00   15.0  2.0  F213         10
  20.00   15.0  3.0  F062         10
  20.00   15.0  3.0  F087         10
  20.00   15.0  3.0  F106         10
  20.00   15.0  3.0  F129         10
  20.00   15.0  3.0  F158         10
  20.00   15.0  3.0  F184         10
  20.00   15.0  3.0  F146         10
  20.00   15.0  3.0  F213         10
  20.00   20.0  1.4  F062         10
  20.00   20.0  1.4  F087         10
  20.00   20.0  1.4  F106         10
  20.00   20.0  1.4  F129         10
  20.00   20.0  1.4  F158         10
  20.00   20.0  1.4  F184         10
  20.00   20.0  1.4  F146         10
  20.00   20.0  1.4  F213         10
  20.00   20.0  2.0  F062         10
  20.00   20.0  2.0  F087         10
  20.00   20.0  2.0  F106         10
  20.00   20.0  2.0  F129         10
  20.00   20.0  2.0  F158         10
  20.00   20.0  2.0  F184         10
  20.00   20.0  2.0  F146         10
  20.00   20.0  2.0  F213         10
  20.00   20.0  3.0  F062         10
  20.00   20.0  3.0  F087         10
  20.00   20.0  3.0  F106         10
  20.00   20.0  3.0  F129         10
  20.00   20.0  3.0  F158         10
  20.00   20.0  3.0  F184         10
  20.00   20.0  3.0  F146         10
  20.00   20.0  3.0  F213         10
  20.00   50.0  1.4  F062         10
  20.00   50.0  1.4  F087         10
  20.00   50.0  1.4  F106         10
  20.00   50.0  1.4  F129         10
  20.00   50.0  1.4  F158         10
  20.00   50.0  1.4  F184         19
  20.00   50.0  1.4  F146         10
  20.00   50.0  1.4  F213         19
  20.00   50.0  2.0  F062         10
  20.00   50.0  2.0  F087         10
  20.00   50.0  2.0  F106         10
  20.00   50.0  2.0  F129         10
  20.00   50.0  2.0  F158         10
  20.00   50.0  2.0  F184         19
  20.00   50.0  2.0  F146         10
  20.00   50.0  2.0  F213         19
  20.00   50.0  3.0  F062         10
  20.00   50.0  3.0  F087         10
  20.00   50.0  3.0  F106         10
  20.00   50.0  3.0  F129         10
  20.00   50.0  3.0  F158         10
  20.00   50.0  3.0  F184         19
  20.00   50.0  3.0  F146         10
  20.00   50.0  3.0  F213         19
  20.10    5.0  1.4  F062         10
  20.10    5.0  1.4  F087         10
  20.10    5.0  1.4  F106         10
  20.10    5.0  1.4  F129         10
  20.10    5.0  1.4  F158         10
  20.10    5.0  1.4  F184         10
  20.10    5.0  1.4  F146         10
  20.10    5.0  1.4  F213         10
  20.10    5.0  2.0  F062         10
  20.10    5.0  2.0  F087         10
  20.10    5.0  2.0  F106         10
  20.10    5.0  2.0  F129         10
  20.10    5.0  2.0  F158         10
  20.10    5.0  2.0  F184         10
  20.10    5.0  2.0  F146         10
  20.10    5.0  2.0  F213         10
  20.10    5.0  3.0  F062         10
  20.10    5.0  3.0  F087         10
  20.10    5.0  3.0  F106         10
  20.10    5.0  3.0  F129         10
  20.10    5.0  3.0  F158         10
  20.10    5.0  3.0  F184         10
  20.10    5.0  3.0  F146         10
  20.10    5.0  3.0  F213         10
  20.10   10.0  1.4  F062         10
  20.10   10.0  1.4  F087         10
  20.10   10.0  1.4  F106         10
  20.10   10.0  1.4  F129         10
  20.10   10.0  1.4  F158         10
  20.10   10.0  1.4  F184         10
  20.10   10.0  1.4  F146         10
  20.10   10.0  1.4  F213         10
  20.10   10.0  2.0  F062         10
  20.10   10.0  2.0  F087         10
  20.10   10.0  2.0  F106         10
  20.10   10.0  2.0  F129         10
